question,answer
block-level storage volumes for use with EC2 instances,Amazon EBS
"serverless, fully scalable shared file system",Amazon EFS
"minimizes downtime and data loss from natural catastrophes, application failures, or disruptions of service",AWS Elastic Disaster Recovery
"launch, run, and scale 3rd-party file systems in the cloud",Amazon FSx
scalable object storage in the cloud,Amazon S3
secure and durable data archiving and long-term backup,Amazon S3 Glacier storage classes
connect an on-premises software appliance with cloud-based storage,AWS Storage Gateway
"support development and run workloads effectively, gain insights into workload operations, and continuously improve supporting processes and procedures to deliver business value",Operational excellence
"protect data, systems, and assets by using cloud technologies to improve security",Security
includes the ability of a workload to perform its intended function correctly and consistently when expected throughout its lifecycle,Reliability
use computing resources efficiently to meet system requirements and to maintain efficiency as demand changes and technologies evolve,Performance efficiency
includes the ability to run systems to deliver business value at the lowest price point,Cost optimization
"focuses on environmental impacts, especially energy consumption and efficiency, to inform direct actions to reduce resource usage",Sustainability
isolated geographic area that consists of multiple Availability Zones,Regions
one or more data centers within a Region,Availability Zones
a worldwide network of data centers that optimizes latency and throughput to users,Edge locations
provides low-latency access to applications by placing AWS resources close to large population and industry centers,AWS Local Zones
build applications that deliver ultra-low latencies to mobile devices and end users through 5G networks,AWS Wavelength
"connects Amazon VPCs, AWS accounts, and on-premises networks to a single gateway",AWS Transit Gateway
a physical or software appliance that a user owns and manages on premises,Customer gateway
establishes connectivity that spans Amazon VPCs spread across multiple Regions,Direct Connect gateway
an Amazon VPC component that allows communication between a user’s computer and the internet,Internet gateway
allow your instances in your private subnets to access the Internet while remaining private. Managed by AWS,NAT gateway
allow your instances in your private subnets to access the Internet while remaining private. Managed by you.,NAT Instance
the gateway on the AWS side of an AWS Site-to-Site VPN connection,Virtual private gateway
physical host that is fully dedicated to the user,Dedicated Hosts
"EC2 instance in a VPC dedicated to one user, no long-term commitment required, pay by the second",Dedicated Instances
"commit to a 1-year or 3-year term for individual instance families in a Region, can change instance types within the family",EC2 Savings Plan
reserve EC2 instance capacity with no term commitment required,On-Demand Capacity Reservations
"no long-term commitment required, pay by the second",On-Demand Instances
commit to a 1-year or 3-year term,Reserved Instances
request unused instances for flexible workloads,Spot Instances
lists all your accounts users and the status of their credenitals,IAM Credentials Report (account-level)
shows the service permissions granted to a user and when they were accessed,IAM Access Advisor (user-level)
An identity with permissions is that assumable by anyone who needs it,IAM Role
"establishes private connectivity between VPCs and services hosted on AWS or on-premises, without exposing data to the internet.",AWS PrivateLInk
Fully managed service to control satellite communications,AWS Ground Station
Scalable 2-way marketing communication service,Amazon Pinpoint
"Fully managed, serverless time-series database",TimeStream
managed message broker service for Apache ActiveMQ and RabbitMQ,Amazon MQ
a developer tool that provides intelligent recommendations to improve code quality,CodeGuru
distributes incoming HTTP traffic across multiple targets,Application Load Balancer
High performance routing of TCP or UDP traffic across multiple targets,Network Load Balancer
Route traffic to firewalls for packet inspection before forwarding,Gateway Load Balancer
Transfer terabytes of data into S3 from locations with or without internet,SnowCone
Transfer Petabytes of data into S3 without using the network. Compute (42TB) or storage (80-200TB) optimized,SnowBall Edge
"Transfer 100PB at a time, up to exabytes into S3",SnowMobile
"fully managed ledger database that provides a transparent, immutable, and cryptographically verifiable transaction log",QLDB (Quantum Ledger)
fully managed native JSON document database compatible with MongoDB,DocumentDB
Define cloud archtecture using a familiar language like Python or Javascript,CDK (cloud development kit)
Start a secure shell on EC2 or on-premises servers without SSH,SSM Session Manager
Route 53 policy used to route traffic to multiple resources in proportions that you specify,Weighted Routing Policy
Route 53 policy with one endpoint and no health checks,Simple Routing Policy
Route 53 policy that directs traffic based on how close they are to the endpoint,Latency Routing Policy
Route 53 policy used for disaster recovery,Failover Routing Policy
allows you to centrally manage all users and roles permissions in your AWS Organization,Service Control Policies (SCP)
"most cost-effective option to have 24x7 phone, email, and chat support",Business Support Plan
business-critical system down response under 15 minutes and access to a Technical Account Manager/Concierge Support Team,Enterprise Support Plan
configuration management service that provides managed instances of Chef and Puppet.,OpsWorks
Canvas to visually design and build serverless applications,AWS Application Composer
Move large amount of data from on-premises to AWS. Replication tasks are incremental.,AWS DataSync
Which AWS services support VPC Endpoint Gateway for a private connection from a VPC?,S3 and DynamoDB (others use Interface Endpoints)
Maximum percent savings for reserving an instance,72%
Services that are encrypted by default,S3 and Storage Gateway
Which Amazon Simple Storage Service (Amazon S3) storage class offers the lowest availability?,Amazon S3 One Zone-Infrequent Access (S3 One Zone-IA)
What are the components of an AWS Site-to-Site VPN?,Virtual Private Gateway(VPG)/Transit Gateway and Customer Gateway
"provides built-in human review workflows for common machine learning use cases, such as content moderation and text extraction from documents",Amazon Augmented AI (A2I)
When do you pay for data transfered between S3 and an EC2 instance?,If it's in a different region
Which service can you use to choose an optimal Savings Plan,Cost Explorer
What are the two types of savings plans?,Compute Savings Plan and EC2 Instance Savings Plan
automated reference deployments for key workloads,AWS Partner Solutions(formerly Quick Starts)
graphical user interface you can use to manage your AWS Snowball devices,AWS OpsHub
"provides reference architecture diagrams, vetted architecture solutions, Well-Architected best practices, patterns, icons, etc.",AWS Architecture Center
Which data sources are used by Amazon Detective to analyze events and identify potential security issues?,AWS CloudTrail logs/Amazon VPC Flow Logs/Amazon GuardDuty findings
"simplifies the building, testing, and deployment of Virtual Machine and container images for use on AWS or on-premises.",EC2 Image Builder
